l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
1.5111111096,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.4222222208,0,7,1.0,1,0.999999999999998,0,77.1999999999999,0,25.626736535856836,25.626736535856836
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.2444444432,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.333333332,0,6,1.0,1,1.0,0,77.1999999999999,0,25.626768932085596,25.626768932085596
1.1555555544,0,6,1.0,1,0.999999999999997,0,77.1999999999999,0,25.626748362340397,25.626748362340397
