lambda,z,ce,cc,edge_avg,cloud_avg,edge_0.0,edge_0.05,edge_0.1,edge_0.15000000000000002,edge_0.2,edge_0.25,edge_0.30000000000000004,edge_0.35000000000000003,edge_0.4,edge_0.45,edge_0.5,edge_0.55,edge_0.6000000000000001,edge_0.65,edge_0.7000000000000001,edge_0.75,edge_0.8,edge_0.8500000000000001,edge_0.9,edge_0.9500000000000001,edge_0.99,edge_0.999,edge_0.9999,edge_0.99999,cloud_0.0,cloud_0.05,cloud_0.1,cloud_0.15000000000000002,cloud_0.2,cloud_0.25,cloud_0.30000000000000004,cloud_0.35000000000000003,cloud_0.4,cloud_0.45,cloud_0.5,cloud_0.55,cloud_0.6000000000000001,cloud_0.65,cloud_0.7000000000000001,cloud_0.75,cloud_0.8,cloud_0.8500000000000001,cloud_0.9,cloud_0.9500000000000001,cloud_0.99,cloud_0.999,cloud_0.9999,cloud_0.99999
1.1555555544,0.3846153846153848,20.0,17.0,41.005625671340454,45.04701019421124,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,28.1,36.7,38.3,39.3,40.2,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.9,71.5,77.3
1.1999999988,0.4074074074074075,20.0,18.0,41.005625671340454,45.063760298969356,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.3,36.8,38.3,39.400000000000006,40.3,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.9,71.1,76.7
1.2444444432,0.4285714285714286,20.0,19.0,41.005625671340454,45.067992596478376,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.6,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.7,52.2,54.7,59.7,65.9,71.6,75.3
1.2888888876,0.4482758620689656,20.0,20.0,41.005625671340454,45.0816425537396,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.3,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.900000000000006,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.7,52.3,54.7,59.7,66.0,71.5,77.0
1.333333332,0.4666666666666668,20.0,22.0,41.005625671340454,45.055487535473105,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.8,36.8,38.3,39.400000000000006,40.3,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,66.0,71.4,76.5
1.3777777764,0.4838709677419356,20.0,23.0,41.005625671340454,45.045662256562906,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.200000000000003,36.8,38.3,39.3,40.2,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.599999999999994,65.8,71.6,75.9
1.4222222208,0.5,20.0,24.0,41.005625671340454,45.06870873993144,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,28.200000000000003,36.8,38.3,39.400000000000006,40.3,41.0,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.8,71.3,77.3
1.4666666652,0.5151515151515152,20.0,25.0,41.005625671340454,45.06216624322532,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.3,36.8,38.3,39.3,40.3,41.1,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,66.0,71.5,77.4
1.5111111096,0.5294117647058825,20.0,26.0,41.005625671340454,45.081331260217326,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.5,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.900000000000006,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.7,52.2,54.7,59.7,65.9,71.4,78.4
1.555555554,0.5428571428571429,20.0,27.0,41.005625671340454,45.068478746920846,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,28.1,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.8,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.6,52.2,54.7,59.7,65.8,71.4,76.1
1.5999999984,0.5555555555555556,20.0,28.0,41.005625671340454,45.0888630791643,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,28.1,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.900000000000006,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.7,52.3,54.7,59.7,65.9,71.5,76.8
1.6444444428,0.5675675675675677,20.0,29.0,41.005625671340454,45.094945743866504,23.200000000000003,32.3,33.900000000000006,35.0,36.0,36.8,37.5,38.3,39.0,39.7,40.400000000000006,41.1,41.900000000000006,42.7,43.5,44.5,45.6,46.900000000000006,48.6,51.2,56.7,63.5,69.5,75.1,27.4,36.8,38.3,39.400000000000006,40.3,41.1,41.8,42.5,43.2,43.900000000000006,44.5,45.2,45.900000000000006,46.7,47.5,48.400000000000006,49.400000000000006,50.7,52.3,54.7,59.8,65.9,71.3,76.9
