lambda z ce cc cost edge_avg cloud_avg edge_0.0 edge_0.05 edge_0.1 edge_0.15000000000000002 edge_0.2 edge_0.25 edge_0.30000000000000004 edge_0.35000000000000003 edge_0.4 edge_0.45 edge_0.5 edge_0.55 edge_0.6000000000000001 edge_0.65 edge_0.7000000000000001 edge_0.75 edge_0.8 edge_0.8500000000000001 edge_0.9 edge_0.9500000000000001 edge_0.99 edge_0.999 edge_0.9999 edge_0.99999 cloud_0.0 cloud_0.05 cloud_0.1 cloud_0.15000000000000002 cloud_0.2 cloud_0.25 cloud_0.30000000000000004 cloud_0.35000000000000003 cloud_0.4 cloud_0.45 cloud_0.5 cloud_0.55 cloud_0.6000000000000001 cloud_0.65 cloud_0.7000000000000001 cloud_0.75 cloud_0.8 cloud_0.8500000000000001 cloud_0.9 cloud_0.9500000000000001 cloud_0.99 cloud_0.999 cloud_0.9999 cloud_0.99999
1.144 1.0 0.0 28.0 3.055 0.0 74.56317843919265 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.2 64.6 66.3 67.5 68.5 69.5 70.3 71.2 72.0 72.8 73.6 74.5 75.4 76.3 77.4 78.5 79.9 81.5 83.7 87.3 94.6 104.0 112.0 117.9
1.188 1.0 0.0 29.0 3.1725 0.0 74.44778452901099 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.9 64.5 66.2 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.4 75.2 76.2 77.2 78.4 79.7 81.3 83.5 87.0 94.5 104.5 113.0 119.6
1.232 1.0 0.0 30.0 3.29 0.0 74.33769381685043 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 55.0 64.5 66.2 67.4 68.4 69.4 70.2 71.0 71.8 72.6 73.4 74.3 75.2 76.1 77.1 78.2 79.5 81.1 83.3 86.7 94.0 103.1 110.9 116.5
1.276 1.0 0.0 31.0 3.4075 0.0 74.69853407378014 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.7 64.6 66.3 67.6 68.6 69.6 70.5 71.3 72.1 72.9 73.7 74.6 75.5 76.4 77.5 78.7 80.0 81.7 83.9 87.5 95.1 104.9 113.7 119.9
1.32 1.0 0.0 32.0 3.525 0.0 74.62839720127869 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 53.4 64.6 66.3 67.6 68.6 69.5 70.4 71.2 72.0 72.9 73.7 74.5 75.4 76.4 77.4 78.6 79.9 81.6 83.8 87.4 95.1 104.7 112.2 118.9
1.364 1.0 0.0 33.0 3.6425 0.0 74.48003188673154 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.0 64.6 66.3 67.5 68.6 69.5 70.3 71.2 72.0 72.8 73.6 74.5 75.3 76.3 77.3 78.4 79.7 81.3 83.5 86.9 94.1 103.1 110.1 116.5
1.408 1.0 0.0 34.0 3.76 0.0 74.39791850171035 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 64.6 66.3 67.5 68.5 69.4 70.3 71.1 71.9 72.7 73.5 74.4 75.2 76.1 77.2 78.3 79.6 81.2 83.3 86.7 93.9 103.1 110.9 118.7
1.452 1.0 0.0 35.0 3.8775 0.0 74.30704834549113 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.3 64.5 66.2 67.4 68.5 69.4 70.2 71.0 71.9 72.7 73.5 74.3 75.2 76.1 77.1 78.2 79.5 81.0 83.1 86.5 93.7 102.7 110.1 117.8
1.496 1.0 0.0 36.0 3.995 0.0 74.19304501568388 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.8 64.5 66.2 67.4 68.4 69.3 70.2 71.0 71.8 72.6 73.4 74.2 75.0 76.0 76.9 78.1 79.3 80.9 83.0 86.2 93.1 101.4 108.9 114.2
1.54 1.0 0.0 37.0 4.1125 0.0 74.75236803396518 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 54.7 64.7 66.4 67.7 68.7 69.6 70.5 71.4 72.2 73.0 73.8 74.7 75.6 76.5 77.6 78.7 80.1 81.8 84.0 87.5 95.0 104.3 112.4 119.2
