l_,ce,cc,z,pe,pc,dpe,dpc,avge,avgc,tot_avg
0.444444444,0,13,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
0.666666666,0,18,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
0.6222222216,0,17,1.0,1.0,0.999999999933043,0.0,77.1999999999999,0.0,45.06384142524114,45.06384142524114
0.5777777772,0,16,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524097,45.06384142524097
0.7555555548,0,20,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
0.7111111104,0,19,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.063841425240966,45.063841425240966
0.8444444436,0,22,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
0.888888888,0,23,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524099,45.06384142524099
0.888888888,0,23,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524099,45.06384142524099
1.0222222212,0,26,1.0,1.0,0.999999999933044,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.11111111,0,28,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.3777777764,0,34,1.0,1.0,0.999999999933046,0.0,77.1999999999999,0.0,45.06384142524092,45.06384142524092
1.6888888872,0,40,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.4666666652,0,35,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.063841425240966,45.063841425240966
1.6888888872,0,40,1.0,1.0,0.999999999933045,0.0,77.1999999999999,0.0,45.06384142524098,45.06384142524098
1.9555555536,9,40,0.86,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524099,45.06384142524098,44.41984142524098
2.0444444424,10,40,0.83,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241,45.06384142524098,44.281841425240984
2.0888888868,11,40,0.81,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524097,45.06384142524098,44.18984142524098
2.3111111088,17,40,0.73,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.82184142524102
2.3555555532,17,40,0.72,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.775841425241026
2.1777777756,14,40,0.77,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.46384142524117,45.06384142524098,44.00584142524102
2.22222222,15,40,0.76,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425240986,45.06384142524098,43.95984142524098
2.3111111088,17,40,0.73,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.82184142524102
2.1333333312,13,40,0.79,0.999999999994634,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425240986,45.06384142524098,44.09784142524098
2.3555555532,17,40,0.72,0.999999999994633,0.999999999933045,81.7999999999996,77.1999999999999,40.463841425241135,45.06384142524098,43.775841425241026
