lambda_,ce,cc,z,perc_e,perc_c,delay_perc_e,delay_perc_c,avg_delay_edge,avg_delay_cloud
0.46,0,13,1.0,0,0.99999996226418,0,63.5000000000006,0,23.351136221268128
0.64,0,17,1.0,0,0.999999922350693,0,65.1000000000006,0,23.64279440172001
0.62,0,17,1.0,0,0.999999922350693,0,65.1000000000006,0,23.64279440172001
0.59,0,16,1.0,0,0.999999825323614,0,67.0000000000005,0,23.780619772850873
0.76,0,20,1.0,0,0.999999665021759,0,68.9000000000004,0,24.074237689347793
0.75,0,20,1.0,0,0.999999665021759,0,68.9000000000004,0,24.074237689347793
0.85,0,22,1.0,0,0.999999904078702,0,65.7000000000005,0,23.836832451703152
0.93,0,24,1.0,0,0.999999912683255,0,65.5000000000006,0,23.865207578482767
0.91,0,23,1.0,0,0.999999846054352,0,66.8000000000005,0,23.968027668555113
1.04,0,26,1.0,0,0.999999910715012,0,65.7000000000005,0,23.926980663399192
1.18,0,29,1.0,0,0.999999803287327,0,68.4000000000004,0,24.254419438472354
1.48,0,35,1.0,0,0.999999345513564,0,74.7,0,25.773661830691612
1.77,4,40,0.95,0.999998522898714,0.999999839575309,73.3000000000001,71.9000000000002,23.38918394898124,26.087051360421466
1.56,0,37,1.0,0,0.99999932314002,0,75.1,0,26.475233001783792
1.82,5,40,0.93,0.999998896055454,0.999999839575309,72.3000000000002,71.9000000000002,23.46423432357007,26.087051360421466
