x,y
1.53,3.96099305478911e-13
1.54,4.34678500214903e-13
1.55,4.76705572141708e-13
1.56,5.22461043371776e-13
1.57,5.7224600925201e-13
1.58,6.26383481129724e-13
1.59,6.85219805773974e-13
1.6,7.49126165185782e-13
1.61,8.18500160679655e-13
1.62,8.9376748527258e-13
1.63,9.75383688574872e-13
1.64,1.06383603854032e-12
1.65,1.15964548460069e-12
1.66,1.26336872688266e-12
1.67,1.37560039638239e-12
1.68,1.49697535115623e-12
1.69,1.62817109377344e-12
1.7,1.76991031547013e-12
1.71,1.92296357264206e-12
1.72,2.08815210151762e-12
1.73,2.26635077706196e-12
1.74,2.45849122237753e-12
1.75,2.66556507508765e-12
1.76,2.88862741741564e-12
1.77,3.12880037690412e-12
1.78,3.38727690495749e-12
1.79,3.66532474063472e-12
1.8,3.9642905673695e-12
1.81,4.28560437055168e-12
1.82,4.63078400416575e-12
1.83,5.00143997495269e-12
1.84,5.39928045283479e-12
1.85,5.82611651662744e-12
1.86,6.28386764434763e-12
1.87,6.77456745772716e-12
1.88,7.30036973083804e-12
1.89,7.86355467304708e-12
1.9,8.46653549683375e-12
1.91,9.11186528132443e-12
1.92,9.80224414273113e-12
1.93,1.05405267232137e-11
1.94,1.13297300100338e-11
1.95,1.21730414972155e-11
1.96,1.30738277022902e-11
1.97,1.40356430510657e-11
1.98,1.50622391437365e-11
1.99,1.6157574416028e-11
2,1.73258242094628e-11
2.01,1.85713912652268e-11
2.02,1.98989166565201e-11
2.03,2.13132911746912e-11
2.04,2.2819667184865e-11
2.05,2.44234709672114e-11
2.06,2.61304155604328e-11
2.07,2.79465141244873e-11
2.08,2.98780938400237e-11
2.09,3.19318103624604e-11
2.1,3.41146628491027e-11
2.11,3.64340095781782e-11
2.12,3.88975841791467e-11
2.13,4.15135124941309e-11
2.14,4.4290330090826e-11
2.15,4.723700044774e-11
2.16,5.03629338331444e-11
2.17,5.36780068996338e-11
2.18,5.7192583016732e-11
2.19,6.09175333645165e-11
2.2,6.48642588117952e-11
2.21,6.90447126029103e-11
2.22,7.34714238778351e-11
2.23,7.81575220507799e-11
2.24,8.31167620731342e-11
2.25,8.83635506071331e-11
2.26,9.39129731372696e-11
2.27,9.9780822047068e-11
2.28,1.05983625689444e-10
2.29,1.12538678479521e-10
2.3,1.19464072039395e-10
2.31,1.26778727425e-10
2.32,1.34502428465843e-10
2.33,1.42655856249095e-10
2.34,1.51260624780118e-10
2.35,1.60339317852279e-10
2.36,1.69915527159488e-10
2.37,1.80013891685673e-10
2.38,1.90660138406056e-10
2.39,2.01881124335834e-10
2.4,2.13704879962571e-10
2.41,2.26160654099345e-10
2.42,2.39278960196416e-10
2.43,2.53091624149949e-10
2.44,2.67631833647058e-10
2.45,2.8293418908717e-10
2.46,2.99034756120571e-10
2.47,3.15971119845647e-10
2.48,3.33782440707201e-10
2.49,3.52509512138994e-10
2.5,3.72194819994463e-10
2.51,3.92882603810377e-10
2.52,4.14618919948929e-10
2.53,4.3745170666479e-10
2.54,4.6143085114418e-10
2.55,4.86608258564159e-10
2.56,5.13037923220938e-10
2.57,5.40776001777009e-10
2.58,5.69880888677656e-10
2.59,6.00413293788382e-10
2.6,6.32436322305561e-10
2.61,6.6601555699349e-10
2.62,7.0121914280204e-10
2.63,7.38117873919859e-10
2.64,7.76785283318993e-10
2.65,8.1729773484774e-10
2.66,8.59734517929563e-10
2.67,9.04177944926407e-10
2.68,9.50713451226372e-10
2.69,9.99429698115748e-10
2.7,1.05041867849728e-09
2.71,1.10377582551668e-09
2.72,1.15960012416082e-09
2.73,1.21799422589185e-09
2.74,1.27906456638237e-09
2.75,1.34292148641794e-09
2.76,1.40967935603385e-09
2.77,1.47945670195442e-09
2.78,1.55237633840387e-09
2.79,1.62856550135866e-09
2.8,1.70815598631246e-09
2.81,1.79128428962573e-09
2.82,1.87809175353285e-09
2.83,1.96872471488087e-09
2.84,2.06333465767476e-09
2.85,2.16207836950529e-09
2.86,2.26511810193626e-09
2.87,2.37262173492951e-09
2.88,2.48476294538617e-09
2.89,2.60172137988456e-09
2.9,2.72368283169567e-09
2.91,2.85083942215809e-09
2.92,2.98338978649556e-09
2.93,3.12153926416135e-09
2.94,3.26550009379416e-09
2.95,3.41549161287213e-09
2.96,3.5717404621516e-09
2.97,3.73448079497922e-09
2.98,3.90395449156614e-09
2.99,4.08041137831493e-09
3,4.26410945228991e-09
3.01,4.45531511092373e-09
3.02,4.65430338705277e-09
3.03,4.86135818937643e-09
3.04,5.0767725484347e-09
3.05,5.30084886820115e-09
3.06,5.53389918338826e-09
3.07,5.77624542256321e-09
3.08,6.02821967717422e-09
3.09,6.290164476587e-09
3.1,6.56243306923327e-09
3.11,6.84538970997327e-09
3.12,7.13940995377634e-09
3.13,7.44488095582304e-09
