Corso Agnelli(TO)    ,Corso Belgio(TO)     ,Corso Einaudi(TO)    ,Corso Francia(TO)    ,Corso Giambone(TO)   ,Corso Galileo Ferraris(TO) ,Corso Giulio Cesare(TO) ,aggregated
0.10079999999999999  ,0.0612               ,0.144                ,0.1584               ,0.1152               ,      0.0936               ,   0.1908               ,0.8639999999999999
0.126                ,0.1368               ,0.162                ,0.2124               ,0.1908               ,      0.0648               ,   0.162                ,1.0548
0.072                ,0.0936               ,0.1512               ,0.198                ,0.11879999999999999  ,      0.09720000000000001  ,   0.1332               ,0.8639999999999999
0.0756               ,0.08639999999999999  ,0.11879999999999999  ,0.1296               ,0.10439999999999999  ,      0.10079999999999999  ,   0.144                ,0.7595999999999999
0.072                ,0.1296               ,0.1296               ,0.1692               ,0.1908               ,      0.0936               ,   0.108                ,0.8927999999999999
0.1116               ,0.09720000000000001  ,0.072                ,0.1548               ,0.1332               ,      0.10079999999999999  ,   0.1656               ,0.8351999999999999
0.1116               ,0.0684               ,0.1224               ,0.1404               ,0.1908               ,      0.0756               ,   0.126                ,0.8351999999999999
0.10439999999999999  ,0.1224               ,0.126                ,0.1404               ,0.1512               ,      0.0576               ,   0.1656               ,0.8675999999999999
0.072                ,0.09                 ,0.072                ,0.14759999999999998  ,0.1692               ,      0.072                ,   0.1224               ,0.7451999999999999
0.0576               ,0.0756               ,0.0936               ,0.1224               ,0.1368               ,      0.0792               ,   0.162                ,0.7272000000000001
0.0792               ,0.1548               ,0.1224               ,0.1404               ,0.0936               ,      0.0648               ,   0.126                ,0.7812
0.1296               ,0.0684               ,0.09720000000000001  ,0.1332               ,0.1152               ,      0.0648               ,   0.1116               ,0.72
0.09                 ,0.0828               ,0.11879999999999999  ,0.1116               ,0.1368               ,      0.10439999999999999  ,   0.17279999999999998  ,0.8172
0.108                ,0.09                 ,0.09                 ,0.162                ,0.1152               ,      0.09720000000000001  ,   0.1764               ,0.8388000000000001
0.0792               ,0.1116               ,0.126                ,0.17279999999999998  ,0.1584               ,      0.1116               ,   0.1656               ,0.9252
0.1116               ,0.08639999999999999  ,0.1152               ,0.1692               ,0.10079999999999999  ,      0.10439999999999999  ,   0.1656               ,0.8532
0.043199999999999995 ,0.08639999999999999  ,0.11879999999999999  ,0.144                ,0.1332               ,      0.1116               ,   0.1116               ,0.7488
0.0648               ,0.1116               ,0.10439999999999999  ,0.144                ,0.0936               ,      0.1152               ,   0.1584               ,0.7919999999999999
0.0684               ,0.1116               ,0.10439999999999999  ,0.108                ,0.14759999999999998  ,      0.108                ,   0.126                ,0.7739999999999999
0.0648               ,0.09                 ,0.08639999999999999  ,0.126                ,0.14759999999999998  ,      0.0576               ,   0.144                ,0.7163999999999999
0.072                ,0.108                ,0.1692               ,0.1656               ,0.14759999999999998  ,      0.0792               ,   0.1692               ,0.9107999999999999
0.0828               ,0.10439999999999999  ,0.1224               ,0.14759999999999998  ,0.10439999999999999  ,      0.10439999999999999  ,   0.1152               ,0.7811999999999999
0.0828               ,0.09720000000000001  ,0.1152               ,0.126                ,0.10439999999999999  ,      0.09720000000000001  ,   0.162                ,0.7848
0.0684               ,0.1116               ,0.108                ,0.1512               ,0.09720000000000001  ,      0.10079999999999999  ,   0.1332               ,0.7704
0.0612               ,0.1116               ,0.1512               ,0.1152               ,0.1512               ,      0.10439999999999999  ,   0.1404               ,0.8352
0.09                 ,0.0612               ,0.1512               ,0.1872               ,0.10439999999999999  ,      0.1224               ,   0.162                ,0.8784
0.10439999999999999  ,0.10439999999999999  ,0.1512               ,0.1692               ,0.10079999999999999  ,      0.0756               ,   0.1296               ,0.8351999999999999
0.0324               ,0.072                ,0.126                ,0.162                ,0.126                ,      0.1512               ,   0.108                ,0.7776
0.1152               ,0.09720000000000001  ,0.1764               ,0.18359999999999999  ,0.126                ,      0.0936               ,   0.144                ,0.936
0.0828               ,0.0468               ,0.1368               ,0.1692               ,0.09720000000000001  ,      0.0684               ,   0.1116               ,0.7128
0.0684               ,0.0576               ,0.1404               ,0.1368               ,0.14759999999999998  ,      0.09                 ,   0.09720000000000001  ,0.738
0.0576               ,0.0792               ,0.10079999999999999  ,0.1656               ,0.08639999999999999  ,      0.09720000000000001  ,   0.0756               ,0.6624
0.043199999999999995 ,0.0                  ,0.0                  ,0.1332               ,0.0                  ,      0.0                  ,   0.0                  ,0.1764
0.0576               ,0.0612               ,0.0684               ,0.1512               ,0.108                ,      0.0936               ,   0.08639999999999999  ,0.6264000000000001
0.0612               ,0.0612               ,0.0936               ,0.1116               ,0.108                ,      0.0468               ,   0.0756               ,0.558
0.05039999999999999  ,0.0648               ,0.0612               ,0.10439999999999999  ,0.08639999999999999  ,      0.1332               ,   0.1296               ,0.6300000000000001
0.0396               ,0.05039999999999999  ,0.1368               ,0.1332               ,0.0828               ,      0.0936               ,   0.0792               ,0.6156
0.054                ,0.05039999999999999  ,0.1152               ,0.1404               ,0.0756               ,      0.10079999999999999  ,   0.054                ,0.5904
0.05039999999999999  ,0.0576               ,0.10079999999999999  ,0.144                ,0.0936               ,      0.0648               ,   0.0756               ,0.5868
0.05039999999999999  ,0.054                ,0.108                ,0.09720000000000001  ,0.0936               ,      0.072                ,   0.0648               ,0.54
0.043199999999999995 ,0.0648               ,0.10079999999999999  ,0.0828               ,0.0828               ,      0.072                ,   0.0792               ,0.5256
0.054                ,0.072                ,0.1692               ,0.0756               ,0.05039999999999999  ,      0.0468               ,   0.0648               ,0.5328
0.0468               ,0.05039999999999999  ,0.1224               ,0.0612               ,0.0936               ,      0.09720000000000001  ,   0.05039999999999999  ,0.522
